리뷰,실제,예측
테라 호텔에 세 번째 오는 것 같네요 처음으로 층 주차장에 자리가 없어서 당황했습니다 벽면에 층에 자리가 없으면 지하주차장을 이용해 달라고 쓰여 있어서 건물 밖으로 나가 오른쪽으로 돌아보니 지하주차장으로 가는 통로가 있네요 지하주차장은 상당히 넓습니다 층 주차장보다 더 넓은 것 같습니다 주말에도 테라 호텔은 주차 걱정이 없을 것 같네요,중립,긍정
최근 잦은 출장으로 모텔에 자주 가게 되는데 지금까지 숙박했던 모텔 중 최고였습니다 청결과 깨끗함 리모델링 해서 그런지 욕실도 곰팡이도 없고 모든 곳이 청결했네요 비용 저렴한 곳과 만원 차이라면 이곳이 정답일 듯합니다 그래서 오늘도 여기서 숙박하려고 합니다 번창하세요,중립,긍정
항상 감사합니다 번창하세요 여기 이제 단골로 등록해 주셔야 할 거 같아요,긍정,중립
원래 시설 그저 그래도 좋다고 리뷰써주는데 정말 리뷰 좋게 써줄 수가 없네요 늘로 예약하고 갔는데 프론트에 사람이 없더군요 전화번호로 전화하니 내려갈게요 해놓고 분을 더 기다린 것 같네요 분을 기다렸더니 하는 말이 안 좋은 방만 남았다며 길 건너 노이도 사장님이 같다고 업그레이드 해드릴테니 노이로 가시라고 그래서 노이로 갔는데 업그레이드 라더니 업그레이드 맞는 건가 싶었습니다 카드키는 인식이 안되는지 불도 안켜지는 방이었네요 내려가서 상황 말했더니 분을 기다려도 안켜지냐는 말이 말인가요 누가 현관앞에 서서 분을 기다립니까 불이야 제가 켜면 되니까 크게 불편함 없으니 그냥 쓰자 맘먹고 올라와서 짐을 풀며 방을 보는데 저는 사용도 안 하는 컴퓨터가 켜져있었어요 본체 돌아가는 소리 거슬려서 컴퓨터 먼저 꺼버렸네요 바닥엔 머리카락이 뭉텅이로 돌아다니고 샤워실엔 최소한 선반은 설치 해주셔야 하는 거 아닌가요 커다란 통도 아니고 작은 통으로 바닥에 놔두다니요 침대는 수평이 아닌 다리쪽을 약간 올라가게 해두셨던데 일부러 그러신 건지 허리가 푹 꺼져서 좀 힘들었네요 베개엔 긴 머리카락 침대보를 분명 갈았을텐데 베개 아래쪽으로 머리카락들이 쌓이고 쌓여있고 씻으려고 어메니티 봉투 열었더니 썼던 치약이 들어있네요 진짜 어이가 없어서 사진도 첨부합니다 출장 다니며 많은 숙박시설 이용했는데 이런 곳 처음입니다 업그레이드 라더니 이게 업그레이드면 늘은 대체 어떤 방인지 상상도 안 되네요 다음은 없을 것 같네요,부정,중립
주차장이 있어 주차 편히 했어요 음식은 웬만한 곳 매 민권이라 좋습니다 친절한 응대와 방 배정 받았습니다 객실 문을 열고 들어갈 때 제일 먼저 맡게 되는 게 냄새인데 쾌적했어요 비흡연자라 담배 냄새에 좀 민감한 편이거든요 시트와 커버는 청결했어요 화장실도 깨끗했어요 샴푸 린스 보디워시가 비치되어 있고 일회용품 가방도 있어서 불편 없이 이용했어요 자주 애용합니다 터미널 근처라 대중교통도 이용 좋아요,긍정,중립
좋아요 퇴실 시간이 여유로워서 너무 좋네요 평일이라 주차 자리 부족하지 않게 잘 이용했어요 침대는 매우 편안하고요 가끔 불편한 곳은 다음날 피곤하고 그런데 좋더랴 구 요 컴퓨터도 처음엔 렉이 좀 있었는데 나중엔 잘 돌아갔고요 로비에 물 음료 여유분도 있고 잘 이용햤습니당 화장실 물도 잘 나오고 비데있구옹 스타일러도 있어서 잘 사용했습니다 드라이기는 살짝 선이 고장 났는지 바람이 냐오다 안 나오다 해서 조금 불편했습니다 나중에 또 이용할게요,중립,긍정
엘리베이터가 없는 게 조금 아쉬웠지만 운동한다 생각하고 계단을 올랐습니다 방도 시설이 너무 깨끗하고 말끔하니 잘 되어 있어서 머무르기에 쾌적한 환경이었던 것 같습니다 다음에 또 이용할게요,중립,긍정
가격도 저렴하니 하루 묵고 갈 숙소로 괜찮은 것 같아요,긍정,중립
화장실도 예쁘고 넷플도 잘 돼요,중립,부정
일주일에 한 뻔 무조건 이용하는 곳,중립,부정
신시가지 방문할 때마다 오는 곳인데 제일 좋은 것 같아요 시설 서비스 위치 등등 딱히 모자란 게 없네요,중립,긍정
조용하고 깔끔하네요 중앙난방이라 그게 좀 아쉬웠어요 더운데 에어컨도 안되고 창문 열어도 시원하지가 않아서 화장실 문도 안 잠기고 문도 반만 열려서 화장실 왔다 갔다 하기 불편했어요,부정,중립
와이파이가 연결은 되는데 잘 안됐다 됐다 그러네요 다른 건 다 좋은데,중립,긍정
전주에서 처음으로 숙박해 보는데 객실은 나름 괜찮았습니다 다만 비누랑 헤어드라이기가 없었고 어댑터도 빠져있어서 불편했었습니다 비누도 없길래 밖에서 사 오고 썼습니다,부정,중립
일단 참대가 넓고 깨끗하면서 전 객실 금연 건물이라 담배 냄새도 안 났어요 옆방 소리가 조금 들리기는 하지만 그래도 대화할 수 있는 정도는 아니어서 괜찮았고요 층 로비는 넓고 쉴만한 곳도 있고 편했어요 그리고 객사랑 매우 가깝기 때문에 좋아요,중립,긍정
여기 항상 가는 숙소입니다 원래 인근에 식사할 장소도 많고 활기찬 동네인데 점점 상권이 축소되는 느낌입니다 하지만 비즈니스로 숙박하기에는 더할 나위 없이 좋은 장소입니다 굿,중립,긍정
터미널은 가까운데 벌레가,중립,부정
생각보다 방도 크고 좋았어요 침대에 전기장판 있어서 따듯해서 꿀잠 잤습니다 그리고 창문이 어두워서 시시 되도록 아침인 줄 몰랐네요 다음에 전주 놀러 오면 또 이용하고 싶어요,중립,긍정
주차장 찾기가 힘들었지만 새로 생긴 데라 깨끗하고 좋았네요 조식은 도시락으로 나와서 조금 아쉬웠어요 미리 공지되었으면 신청 안 했을 텐데 한옥마을에서도 멀지도 않고 잘 쉬다 갑니다,중립,긍정
전주역에서 내려오면 가까워서 접근이 편합니다 모텔 위아래로 거리에 식당도 많고 바로 앞에 편의점도 있어 편리합니다 객실이랑 화장실은 너무 좁지도 않고 깨끗하고 깔끔한 편입니다로 넷플릭스가 가능하고 유튜브 시청도 티브이 화면으로 가능합니다 컴퓨터로 게임도 가능하네요 롤 같은 국민게임은 여유 있게 돌아가고 옵션 낮추면 사양 필요한 게임도 할 수는 있겠네요 층 카페테리아에서는 식빵이랑 커피 등을 넉넉하게 제공합니다 간단히 때우기에 괜찮은 거 같습니다,긍정,중립
리뷰할 생각이 없어서 사진을 안 찍었는데 리뷰를 쓰게 됨 사진에서 본 것과 룸 사이즈는 비슷했다 그리고 신축이라서 그런지 룸 인테리어도 좋았으며 룸 컨디션도 굉장히 마음에 들었다 평소에 방 잡을 때 룸 컨디션하고 담배 냄새에 신경을 굉장히 많이 쓰는데 여긴 만족스러웠다 프런트 직원분도 친절했으며 대응도 빨라서 만족스러웠기에 리뷰를 쓴다 그리고 프런트 옆에 가면 조식으로 이것저것 있는데 상시 이용 가능하다 사장님 번창하세요,중립,긍정
넷플릭스만 있다고 나와있는데 티빙이랑 디즈니 다 있어서 정말 다행이었어요 왜 안 적어놓으셨나요 그리고 침대랑 이불이 너무 좋아요 물도 엄청 잘 나오고 따뜻한 물도 잘 나와서 완전 푹 쉬다 갑니다,중립,부정
가격은 진짜 저렴해요 근데 진짜 옛날식 숙소 대신 침대는 진짜 푹신,중립,부정
주차장이 일단 넓어서 아주 좋은 거 같아요 침대가 엄청 커서 둘이 누워도 여유 있어요 아주 좋은 거 같아요 있을 거 다 있고 근처에 편의점도 있고 불편한 거 없어요,중립,긍정
깨깟하고 좋아요 화장실이 방음이 조금 부족한 거 빼고는 늘 잘 이용하고 있습니다,부정,중립
시내 안에 있어서 편리했어요,긍정,부정
일단 시설이 깨끗하고 모던해서 정말 좋습니다 방안에 담배 냄새도 나지 않아서 참 조 터라고요 침대나 시트 화장실 방안의 청결도가 전 중요하다고 생각하는데 만족합니다 침대나 베개도 품질이 좋았습니다,중립,부정
오랜만에 방문했어요 지금까지 번 정도 방문한 거 같은데 예전에는 좋다고 생각했는데 이번에는 그럭저럭이었어요 같은 가격에 다른 곳을 갈 걸 그랬다 생각이 그래도 잘 쉬다 갑니다,중립,긍정
매번 제일 먼저 찾는 숙소 중 하나입니다 최고의 용 침대도 푹신 컴퓨터도 두 대랑 게임도 같이 할 수 있고 티브이랑 서비스 짱입니다,부정,중립
전주 호텔 히든 가격도 서비스도 다 만족입니다 방마다 색깔이 특히 맘에 드네요,부정,중립
깨끗합니다 숙박 대전 쿠폰 받아서 저렴하게 이용했어요,중립,긍정
다른 평들에서 숙소가 춥다 물이 안 나온다 더럽다 이런 이야기가 많아서 방문 당일까지도 숙소 예약취소해야 하나 고민했었는데 진짜 넓고 정말 좋았어요 뜨거운 물도 잘 나오고 방도 따뜻했고 더럽지도 않았어요 아쉬운 점 굳이 하나 뽑자면 고데기가 없다는 점 다 만족했습니다,중립,부정
온수가 너무 늦게 나와요 수압도 낮아요,부정,중립
특이한 콘셉트의 숙소네요,부정,중립
침대 두 개 방도 넓고 남편이랑 아주 편하게 쉬었네요 한옥마을까지는 걸어서 분 정도 걸려 요 맛집도 많던데 코로나라 가지는 못하고 호텔 근처 가득이란 스시집에서 포장해왔는데 만족 입실은 시이고 그전에 입실할 수 있는데 시간당 만 원이래요 주차는 미리 가능하다 해서 세워놓고 구경하고 왔습니다,중립,긍정
시간도 넉넉하고 괜찮게 이용하고 왔어요 터미널 근처에선 다들 만족하실 만큼의 깨끗함이고 난방이 너무 잘 돼서 잘 때 더웠어요,긍정,중립
이른 시간에 입실해서 대실 시간도 길었고 모든 면에서 만족스러웠습니다 정말 푹 쉬다 갑니다,중립,긍정
객실 컨디션 굿 화장실 청소 굿 일회용품 덜 쓰기 운동 중이라고 자세히 설명해 주시며 필요한 물품 챙겨주신 프런트 이 모 식당 소개도 시켜주시고 얼음을 부덕했더니 챙겨주셨어요 고마워서 커피 사 다렸어요,중립,부정
잘 이용했네요 박하고 담 일정이 길어져서 대실 시간 이용,중립,부정
꾸준히 이용하는 곳입니다 꾸준히 이용하는 이유가 있겠죠,중립,부정
숙소는 역시 브라운 도트죠 다음에도 무조건 이용합니다,중립,긍정
그럭저럭 근처 음식점 방문 때문에 숙박하였으나 재방문은 없을 거 같아요 화장실 욕조 배수구가 밑에까지 뚫려 작은 나방 같은 벌레가 많았어요 최대한 빨리 고치셔야 할 거 같습니다 평수는 넓어서 그건 좋았어요,중립,긍정
전주 놀러 와서 방문하게 된 곳 숙소가 매우 청결 주차장 지상 지하 여유 많음 헬스장 시 무료 이용 가능 기구는 러닝머신이랑 사이클 두 대씩 정도 시 세탁실 조식 종류 많고 맛도 와이파이 가능 티브이는 스마트티브이가 아니라서 핸드폰 연동 불가 지상파 정도 가능 한옥마을까지는 걸어가기 애매한 거리 택시 잘 잡혀요 주변 인프라 먹거리는 아쉽지만 요즘 배달 잘 되고요 택시 타고 기본요금 거리 정도에 먹거리 인프라가 좋지만 전주에서 이만한 숙소는 없습니다 직원분들 너무 친절하시고 잘 쉬다 갑니다,중립,긍정
룸이 아담하기는 하였지만 그래도 쉬기 딱 적당했습니다 일단 룸이나 화장실 청결 상태 좋았고요 인테리어도 전반적으로 심플해서 좋았습니다 바닥이 타일이고 온돌같이 따스해서 더 좋았던 것 같습니다 그리고 청결 상태가 좋아서 그런지 묵은 냄새 혹은 담배 냄새와 같은 불쾌한 냄새가 아닌 깔끔한 향기가 나서 맘에 들었습니다 다음에도 기회가 되면 이용해 보겠습니다,중립,긍정
그다지 침대도 별로고 안 좋아요,중립,긍정
너무 친절하시고 도 깨끗해서 사용에 불편함 없이 잘 머물렀습니다,중립,긍정
객실은 그냥 생각했던 정도 싱크대가 굳이 왜 있지 했는 데 있어서 편했습니다 한옥마을에서 가까운 듯 먼 듯 먼 듯 가까운 듯 어디를 가느냐에 따라 조금 달라질 듯함 프런트 여직원들은 표정이 없고 무뚝뚝 그렇다고 불친절은 아니지만 대체적으로 만족합니다 그러나 재방문 의사는 미만 이유는 위치 가격 시설 친절도 전부 애매함 특출난 한 가지가 없어서 망설여지는 곳,긍정,중립
입실시간도 빠르고 스타일러에 안 마의사까지 너무 푹 쉬다 왔어요 티브이가 커서 좋았어요 다만 연식 땜에 담배 냄새나는 건 어쩔 수 없고 에어컨이 막 시원하지 않은 거 그래도 선풍기도 있고 불편한 거 없이 착한 가격에 잘 쉬다 왔네요,부정,중립
